time,open,high,low,close,volume
2021-04-22 00:00:00,257.63,260.49,252.59,259.48,126379.33466
2021-04-22 01:00:00,259.47,264.13,256.05,256.07,59265.38499
2021-04-22 02:00:00,256.09,260.7,251.19,258.73,127954.06561
2021-04-22 03:00:00,258.67,262.33,255.87,257.66,64301.06453
2021-04-22 04:00:00,257.73,263.0,257.24,262.54,58322.89758
2021-04-22 05:00:00,262.59,267.0,261.08,266.25,63125.77616
2021-04-22 06:00:00,266.35,268.91,263.85,264.14,57862.70841
2021-04-22 07:00:00,264.11,268.18,262.09,266.92,82394.85617
2021-04-22 08:00:00,267.14,268.32,257.25,262.65,108621.88186
2021-04-22 09:00:00,262.59,280.48,260.62,278.73,203979.84686
2021-04-22 10:00:00,278.73,283.57,274.33,277.58,214083.73261
2021-04-22 11:00:00,277.67,286.0,277.02,278.76,191985.20395
2021-04-22 12:00:00,278.76,286.0,278.75,280.23,100781.95419
2021-04-22 13:00:00,280.22,282.18,275.21,275.6,87264.29105
2021-04-22 14:00:00,275.64,284.76,275.0,283.53,83029.68446
2021-04-22 15:00:00,283.66,286.01,278.41,285.34,80617.81676
2021-04-22 16:00:00,285.09,289.61,281.86,285.73,113974.13516
2021-04-22 17:00:00,285.77,286.47,271.08,271.33,118394.08817
2021-04-22 18:00:00,271.27,277.78,268.11,275.12,179009.4444
2021-04-22 19:00:00,275.09,275.61,265.5,271.35,141287.9878
2021-04-22 20:00:00,271.37,271.48,255.14,256.01,183400.43606
2021-04-22 21:00:00,256.19,257.88,239.0,256.69,240628.27835
2021-04-22 22:00:00,256.8,259.62,251.21,253.48,102530.0342
2021-04-22 23:00:00,253.48,259.28,251.74,252.5,69597.61038
2021-04-23 00:00:00,252.6,257.15,250.01,252.09,111289.35899
2021-04-23 01:00:00,252.09,255.4,231.9,242.45,213087.15341
2021-04-23 02:00:00,242.09,246.0,206.89,230.67,371233.52528
2021-04-23 03:00:00,230.67,236.72,228.5,232.49,183846.7324
2021-04-23 04:00:00,232.59,234.92,223.87,226.17,124352.99266
2021-04-23 05:00:00,226.15,231.79,216.98,228.35,172450.50269
2021-04-23 06:00:00,228.39,228.89,220.45,227.24,162794.1906
2021-04-23 07:00:00,227.35,229.94,219.1,223.84,195491.71065
2021-04-23 08:00:00,223.43,231.42,219.07,230.79,155191.21693
2021-04-23 09:00:00,230.66,230.99,223.53,227.32,114616.46377
2021-04-23 10:00:00,227.24,235.85,226.38,232.87,133157.20263
2021-04-23 11:00:00,232.88,239.17,231.41,237.69,110897.46594
