,time,type,fracSize,low,high,note,tokenPriceA,tokenPriceB,cumFees
50,2021-02-19 07:49:28.550,base,1,46380.13442823733,58916.708855921745,new,10758.582028442135,0.2050572951248337,0.0
51,2021-02-20 07:49:28.550,base,1,50325.27016858596,62888.293600335586,new,11619.089184090652,0.2034233778009617,0.0
52,2021-02-21 07:49:28.550,base,1,51372.72273004269,65112.03348259355,new,11992.49991153155,0.210266455366246,0.0003454833989161993
53,2021-02-22 07:49:28.550,base,1,46634.16152227225,57743.67467267518,new,12236.730299120942,0.2313534997778554,0.0004596050227504006
54,2021-02-23 07:49:28.550,base,1,43195.66190210357,55079.98831305179,new,12852.80530441735,0.2659681773153892,0.001019853294434804
55,2021-02-24 07:49:28.550,base,1,44148.38793634115,55456.330486594066,new,11831.691623621937,0.2389740998541553,0.000999147945213795
56,2021-02-25 07:49:28.550,base,1,44658.03551018775,57892.03660881026,new,12339.720813269558,0.2401814560250313,0.0002755897083060038
57,2021-02-26 01:49:28.550,base,1,38775.82360394367,50025.06505196802,stop,12268.55265344822,0.2757250988751365,0.0005119792006532953
58,2021-02-27 01:49:28.550,base,1,41463.74812609828,52271.40759841862,new,12280.939383048077,0.2609203920917802,0.0005198596551583001
59,2021-02-28 01:49:28.550,base,1,38822.72768902977,50395.03232221925,new,12736.94597514154,0.2855972600835739,0.0004164407799455011
60,2021-03-01 01:49:28.550,base,1,41099.158543172845,50570.91260358641,new,12498.435183007825,0.2714543057004012,0.0004656643448392034
61,2021-03-02 01:49:28.550,base,1,43832.359110384816,53696.3516939534,new,12644.90014078957,0.2598194416107297,0.0004553133137433982
62,2021-03-03 01:49:28.550,base,1,45500.913281752706,55342.242582907216,new,12133.00502622452,0.2429812113381854,0.0003295223537385025
63,2021-03-04 01:49:28.550,base,1,44615.51439028776,55798.40659870362,new,12173.744793590262,0.2447590808805655,0.00037974940079389674
64,2021-03-05 01:49:28.550,base,1,41734.7524034103,51736.05630493289,new,12890.72387093416,0.2740273780707395,0.00040617073694020067
65,2021-03-06 01:49:28.550,base,1,42803.631717227705,53594.48811490338,new,13398.352446287108,0.2738849056175236,0.00035424015262620207
66,2021-03-07 01:49:28.550,base,1,43970.66952045047,55634.04954366066,new,13743.775814671471,0.2765377992163765,0.0002467009485951008
67,2021-03-08 01:49:28.550,base,1,44124.746540946486,54636.1633110731,new,12908.76718901758,0.2602772052599497,0.0002543283890761999
68,2021-03-09 01:49:28.550,base,1,48431.13835986339,59926.22493935579,new,13415.186499298312,0.2492536416371668,0.0002378953462583988
69,2021-03-10 01:49:28.550,base,1,49059.87483774985,61176.89896299209,new,13299.533869966832,0.2452210889932511,0.0002866559028196977
70,2021-03-11 01:49:28.550,base,1,50880.4055167045,61141.80034594079,new,14386.376665160184,0.2601450370952844,0.0002596041634735022
71,2021-03-12 01:49:28.550,base,1,49795.254581922025,63318.813123272594,new,14455.805437672812,0.2546101139143437,0.0004101466205908011
72,2021-03-13 01:49:28.550,base,1,52227.476432288815,62490.794876586806,new,14936.14923179652,0.2615446303670626,0.0003555080766060939
73,2021-03-14 01:49:28.550,base,1,55732.5053369936,65142.44619296514,new,15121.682363636295,0.2489848250325464,0.0006730680211932058
74,2021-03-15 01:49:28.550,base,1,53045.65792980677,63964.775821706186,new,14840.455357326216,0.2548578319414262,0.0
75,2021-03-16 01:49:28.550,base,1,50624.042719279016,61113.182249411744,new,13824.148848185006,0.2498967345957457,0.0
76,2021-03-17 01:49:28.550,base,1,51357.05765999807,60556.92126942321,new,14619.515045401957,0.2614892975360051,0.0
77,2021-03-18 01:49:28.550,base,1,53784.76602695489,65093.19231299701,new,15576.197679744886,0.266924965757764,0.0
78,2021-03-19 01:49:28.550,base,1,53705.52995535642,63736.98139003104,new,15477.743699427683,0.2658893071938003,0.0
79,2021-03-20 01:49:28.550,base,1,52922.94615654889,63663.799571502735,new,15132.016291476486,0.2587075977680744,0.0
80,2021-03-21 01:49:28.550,base,1,52278.48510272536,62444.11464516422,new,16551.85151012222,0.2886794776274968,0.0
81,2021-03-22 01:49:28.550,base,1,53099.51021019434,63147.2571589867,new,17368.225328100845,0.3011095576964112,0.0
82,2021-03-23 01:49:28.550,base,1,49047.466349830625,58407.92349401643,new,18000.876149399446,0.3354058797725442,0.0
83,2021-03-24 01:49:28.550,base,1,50575.44549822375,60789.53957570093,new,20229.54592046525,0.3644973623953274,0.0
84,2021-03-25 01:49:28.550,base,1,46836.51079399382,59155.50688997196,new,20127.60393791337,0.379888308112041,0.0
85,2021-03-26 01:49:28.550,base,1,48889.536757404756,56882.419206453764,new,18607.140233771177,0.351093268637487,0.0
86,2021-03-27 01:49:28.550,base,1,50454.79553267691,59791.86982898371,new,17113.677230063277,0.3126358725000125,0.0
87,2021-03-28 01:49:28.550,base,1,52540.37811755454,61272.029502564445,new,16989.04983443798,0.3018490297645271,0.0
88,2021-03-29 01:49:28.550,base,1,52174.94349708983,60790.53334033653,new,17460.310737110733,0.3115447069175475,0.0
89,2021-03-30 01:49:28.550,base,1,54739.1490774991,62599.813808452185,new,18705.898074606463,0.3221239167843562,0.0
90,2021-03-31 01:49:28.550,base,1,53974.239908039344,63396.634561830746,new,19578.216296276834,0.3297581175365952,0.0
91,2021-04-01 01:49:28.550,base,1,54618.98377520337,62662.53222608442,new,18094.59404100237,0.3093039089596748,0.0
92,2021-04-02 01:49:28.550,base,1,55071.04205982144,63936.85971787124,new,17622.21707763767,0.2960371067349004,0.0
93,2021-04-03 01:49:28.550,base,1,54570.160982621994,63563.98501431712,new,17171.148556474054,0.2895317607445076,0.0
94,2021-04-04 01:49:28.550,base,1,53531.324078900456,60617.530662530364,new,16255.032529145565,0.2830316842437406,0.0
95,2021-04-05 01:49:28.550,base,1,53255.74177903544,61317.63568916025,new,17020.53105019239,0.298713220248487,0.0
96,2021-04-06 01:49:28.550,base,1,55105.87757762331,63159.40123597597,new,16484.63144743125,0.2816385088532988,0.0
97,2021-04-07 01:49:28.550,base,1,53428.16315373479,60982.69563990911,new,16341.460300378443,0.2836614152127883,0.0
98,2021-04-08 01:49:28.550,base,1,53391.7556529508,61337.5037865509,new,15501.356045605144,0.271070155490077,0.0
99,2021-04-09 01:49:28.550,base,1,53853.13107627,61901.54539180008,new,15830.372992163033,0.2740257567378709,0.0
100,2021-04-10 01:49:28.550,base,1,56463.86350207325,64161.082049865,new,15174.536476238678,0.2512696124179465,0.0
101,2021-04-11 01:49:28.550,base,1,56394.28348791515,63918.02058294886,new,15572.078462439713,0.2612012219487937,0.0
102,2021-04-12 01:49:28.550,base,1,58005.59486003062,63902.83003671898,new,15767.151853969828,0.258917287456155,0.0
103,2021-04-13 01:49:28.550,base,1,57478.77794443911,64741.11253109339,new,16438.194201962124,0.2702124104080094,0.0
104,2021-04-14 01:49:28.550,base,1,60858.47154917255,67611.82302487257,new,15903.084489388008,0.2474462069293904,0.0
105,2021-04-15 01:49:28.550,base,1,59647.456377611474,66845.89229919032,new,14900.660526328678,0.236529726312997,0.0
106,2021-04-16 01:49:28.550,base,1,57845.221962922886,64782.37455978236,new,16324.672336512684,0.2653497706144322,0.0
